num_disp,block_size,p1_factor,p2_factor,uniqueness_ratio,speckle_window,speckle_range,disp12_max_diff,road_density,nonroad_density,density_ratio,road_mean_depth,road_std_depth,is_baseline
64,15,8,32,10,200,2,1,96.0304950410932,82.2578471336652,1.1683237443473486,12.824292993545532,13.459624290466309,False
64,5,8,96,5,100,32,5,99.39594566938172,88.32804340389241,1.1260783480053027,11.755356216430664,9.476263809204102,False
96,15,8,96,10,100,32,5,0.0,0.0,0.0,,,False
96,11,8,96,15,200,2,5,0.0,0.0,0.0,,,False
96,11,8,64,5,100,2,5,98.60677584854473,84.42289425765367,1.1689677885643168,11.847928380966186,9.860095381736755,False
64,15,8,96,15,200,2,5,0.0,0.0,0.0,,,False
64,11,8,96,15,100,2,5,0.0,0.0,0.0,,,False
192,15,8,64,10,200,2,1,0.0,0.0,0.0,,,False
64,11,8,64,10,100,32,1,98.70025515889148,83.93701591070845,1.1772181797001318,12.07480239868164,10.863358211517333,False
192,5,8,32,5,100,2,1,94.28393004763896,75.30008862379084,1.2533268061387859,12.430845165252686,11.103914022445679,False
64,5,8,96,15,100,2,5,97.51690316733108,75.55739433720028,1.3006465919762005,11.679147291183472,8.808671689033508,False
64,5,8,96,10,200,2,5,98.99936965915194,80.38615120089733,1.2391906276100568,11.723022222518921,9.233460998535156,False
64,11,8,64,15,200,32,5,97.47489350983996,80.57706811107548,1.2118047914670633,12.026047706604004,10.744818139076234,False
96,11,8,32,10,200,32,5,97.350139343097,81.9562701269659,1.1886184369955974,12.834563446044921,12.548689603805542,False
96,11,8,64,15,200,2,1,96.77215417759707,77.07762568146782,1.2588066769040185,11.754660701751709,9.308898687362671,False
192,11,8,64,5,100,32,1,94.45927643606247,76.63995233960217,1.2333522735295928,12.02660493850708,10.015463304519653,False
64,5,8,96,5,200,32,1,99.35725506726276,87.38569043264273,1.1380036976526926,11.74636960029602,9.430549597740173,False
192,15,8,96,15,200,2,5,0.0,0.0,0.0,,,False
96,9,8,64,15,200,32,5,97.53083102022302,76.62707819574382,1.2771534914584595,11.684911060333253,8.818845176696778,False
128,15,8,96,15,100,32,5,0.0,0.0,0.0,,,False
96,11,8,32,15,100,32,5,96.63148073525717,78.55812505770398,1.2318028479137577,12.705460548400879,12.219022583961486,False
192,5,8,96,5,200,32,5,94.74176375250873,78.00666775106349,1.21539128937447,11.887272834777832,9.00847909450531,False
96,15,8,96,15,100,2,5,0.0,0.0,0.0,,,False
64,5,8,32,10,200,2,5,98.69258742961269,80.81629052053421,1.2292481227723497,12.107669115066528,10.737444543838501,False
96,5,8,64,10,200,32,1,98.55436484470538,81.33008326997519,1.2137967343561344,11.693230295181275,8.859292340278625,False
192,5,8,32,5,100,2,5,94.30968616112362,75.83158365606246,1.2447848622190336,12.446289110183717,11.12796754837036,False
128,9,8,96,5,100,2,1,97.90286209430367,81.34714926572863,1.2045953059210621,11.744181251525879,8.887879180908204,False
96,5,8,64,5,200,32,1,98.80769347120815,85.2968502918751,1.1590985470290494,11.698433542251587,8.875620889663697,False
96,11,8,32,10,100,2,1,97.30527139850065,81.23442914908824,1.1990066331813487,12.848161935806274,12.583857345581055,False
128,9,8,64,15,100,2,5,96.63835227716594,74.07979872067459,1.3077576952239656,11.72241005897522,8.845985150337219,False
128,11,8,32,10,100,2,1,96.39510753860552,78.74845180954745,1.2247911999099268,12.90369987487793,12.636085748672485,True
