step,environment,gt_x,gt_y,ekf_x,ekf_y,error_m
0,URBAN,248.99575805664062,-32.72770309448242,249.00321376194304,-32.736780502128425,0.011746781309288471
1,URBAN,248.877197265625,-33.024818420410156,248.89098564283745,-33.04233986368245,0.022296195202253965
2,URBAN,248.7530059814453,-33.3318977355957,248.77359335428326,-33.3565572444243,0.032123687460136885
3,URBAN,248.62367248535156,-33.649112701416016,248.64896867215066,-33.68095282304196,0.04066559247975973
4,URBAN,248.48829650878906,-33.97724914550781,248.51816567568414,-34.01666088969205,0.0494515187901231
5,URBAN,248.34735107421875,-34.31642150878906,248.3801242292354,-34.362419008335564,0.05647875400782319
6,URBAN,248.2053680419922,-34.6685676574707,248.2396274674889,-34.720346645562636,0.06208680893063651
7,TUNNEL,248.07199096679688,-35.036170959472656,248.10091039137873,-35.09057023230385,0.061608554622780067
8,TUNNEL,247.9517364501953,-35.41909408569336,247.96959970998077,-35.475075435607515,0.05876229733744123
9,TUNNEL,247.84214782714844,-35.81714630126953,247.84579654623212,-35.87489881771077,0.057867662007786556
10,TUNNEL,247.73968505859375,-36.230262756347656,247.73106430540423,-36.29092130798069,0.061268077101961374
11,TUNNEL,247.64308166503906,-36.658626556396484,247.62359179298412,-36.72287364126562,0.06713823818734277
12,TUNNEL,247.55096435546875,-37.101951599121094,247.52408585103785,-37.17055484132212,0.0736807901758303
13,TUNNEL,247.46319580078125,-37.55975341796875,247.4305241862938,-37.632429830684444,0.07968246581549708
14,TUNNEL,247.37921142578125,-38.02849197387695,247.34445775732183,-38.10375705303805,0.08290144517747262
15,TUNNEL,247.29959106445312,-38.50293731689453,247.26394815772304,-38.579030465061095,0.08402728127262278
16,TUNNEL,247.22409057617188,-38.9780158996582,247.19055813034467,-39.053573181072665,0.08266394436450866
17,TUNNEL,247.15823364257812,-39.45051574707031,247.12594380784506,-39.52402879377681,0.08029197633113691
18,TUNNEL,247.1048583984375,-39.91835021972656,247.0725813563709,-39.989677241604426,0.07829017495531602
19,TUNNEL,247.0606231689453,-40.3813362121582,247.02768890690461,-40.450756461979914,0.07683642821913372
20,TUNNEL,247.02330017089844,-40.839786529541016,246.99186599925434,-40.90771057963837,0.07484506482446333
21,TUNNEL,246.99200439453125,-41.29509353637695,246.96164551180092,-41.362246362169806,0.07369642984974863
22,TUNNEL,246.9651336669922,-41.74878692626953,246.93771614292623,-41.815838072927484,0.07244016078152637
23,TUNNEL,246.94235229492188,-42.2027587890625,246.91701417252688,-42.27039257105312,0.07222429586267325
24,TUNNEL,246.9224090576172,-42.65843200683594,246.90062286715522,-42.72710668566481,0.07204755101385163
25,TUNNEL,246.9052276611328,-43.11686325073242,246.8859653506464,-43.186811593049,0.07255209988768578
26,TUNNEL,246.88978576660156,-43.578285217285156,246.8744462191705,-43.64944358497841,0.07279295988045716
27,TUNNEL,246.8787384033203,-44.04231262207031,246.86537904760476,-44.11435480289904,0.07327037739559697
