step,environment,gps_error,rtk_error,ekf_error
0,TUNNEL,,,0.004561980120101951
1,TUNNEL,,,0.007065021482776317
2,TUNNEL,,,0.008800565740440618
3,TUNNEL,,,0.011945361960798958
4,TUNNEL,,,0.016359741656428506
5,TUNNEL,,,0.021230505638138632
6,TUNNEL,,,0.02687073302091329
7,TUNNEL,,,0.03235185548297689
8,TUNNEL,,,0.03807272487350889
9,TUNNEL,,,0.04362391809883051
10,TUNNEL,,,0.04955953757267422
11,TUNNEL,,,0.0552979724754532
12,TUNNEL,,,0.06140568267742681
13,TUNNEL,,,0.06612045210120841
14,TUNNEL,,,0.07138219915298388
15,TUNNEL,,,0.07702498585574499
16,TUNNEL,,,0.08328373432791912
17,TUNNEL,,,0.08949790303557953
18,TUNNEL,,,0.09610786821404177
19,TUNNEL,,,0.10247353522180302
20,TUNNEL,,,0.1092257932060513
21,TUNNEL,,,0.11571410878377035
22,TUNNEL,,,0.12259676485776946
23,TUNNEL,,,0.12916138226671442
24,TUNNEL,,,0.13604470421511228
25,TUNNEL,,,0.14274329889770565
26,TUNNEL,,,0.14916648498138363
27,TUNNEL,,,0.15529975949572875
28,TUNNEL,,,0.1619029616852236
29,TUNNEL,,,0.16811750035261028
30,TUNNEL,,,0.17459154995195308
31,TUNNEL,,,0.18081009129199044
32,TUNNEL,,,0.18742528813891668
33,TUNNEL,,,0.19391386439983072
34,TUNNEL,,,0.20081596778873473
35,TUNNEL,,,0.20751333649624323
36,TUNNEL,,,0.2145678714128124
37,TUNNEL,,,0.2212743803126188
38,TUNNEL,,,0.22805984055550377
39,TUNNEL,,,0.23465630784035854
40,TUNNEL,,,0.24169614946992413
41,TUNNEL,,,0.24854805168156308
42,TUNNEL,,,0.25579137278175706
43,TUNNEL,,,0.26276531828509947
44,TUNNEL,,,0.2700944120920961
45,TUNNEL,,,0.27709408360593313
46,TUNNEL,,,0.2843472085400586
47,TUNNEL,,,0.2913525722047861
48,TUNNEL,,,0.2986716273961293
49,TUNNEL,,,0.30563367537455643
50,TUNNEL,,,0.31304102005518614
51,TUNNEL,,,0.3201081841957897
52,TUNNEL,,,0.3273075080077819
53,TUNNEL,,,0.3340386751423402
54,TUNNEL,,,0.34103145221127296
55,TUNNEL,,,0.3477763524431652
56,TUNNEL,,,0.35488306213712356
57,TUNNEL,,,0.3617812247479107
58,TUNNEL,,,0.36901967151588505
59,TUNNEL,,,0.37592063842784246
60,TUNNEL,,,0.38319021124798186
61,TUNNEL,,,0.39016592762545305
62,TUNNEL,,,0.39746333089398883
63,TUNNEL,,,0.4044421873781756
64,TUNNEL,,,0.4117199473624068
65,TUNNEL,,,0.41870872122492014
66,TUNNEL,,,0.4260448198292249
67,TUNNEL,,,0.4330382040672176
68,TUNNEL,,,0.4403379636879668
69,TUNNEL,,,0.4472985196677696
70,TUNNEL,,,0.4545162941501052
71,TUNNEL,,,0.46147631569963987
72,TUNNEL,,,0.4687477027389934
73,TUNNEL,,,0.47570571905223924
74,TUNNEL,,,0.48297577676672426
75,TUNNEL,,,0.4900979301421135
76,TUNNEL,,,0.49741188046320794
77,TUNNEL,,,0.5044219421027543
78,TUNNEL,,,0.5117477340265498
79,TUNNEL,,,0.518791581711873
80,TUNNEL,,,0.5261791637474484
81,TUNNEL,,,0.5332645388126784
82,TUNNEL,,,0.5405625898047288
83,TUNNEL,,,0.5474675653633355
84,TUNNEL,,,0.5547171286166463
85,TUNNEL,,,0.5616420647114273
86,TUNNEL,,,0.5688977390169253
87,TUNNEL,,,0.5757816925344561
88,TUNNEL,,,0.5828109706705257
89,TUNNEL,,,0.5893916539622469
90,TUNNEL,,,0.596189659562775
91,TUNNEL,,,0.6025580216539942
92,TUNNEL,,,0.6091570310946961
93,TUNNEL,,,0.6154705433054172
94,TUNNEL,,,0.6220279478595014
95,TUNNEL,,,0.6281970777032557
96,TUNNEL,,,0.6346532923273015
97,TUNNEL,,,0.6406385216263601
98,TUNNEL,,,0.646902449839534
99,TUNNEL,,,0.6527961996781956
100,TUNNEL,,,0.6589565483709904
101,TUNNEL,,,0.6647181154009055
102,TUNNEL,,,0.670728575962378
103,TUNNEL,,,0.6763617299334176
104,TUNNEL,,,0.6822422777530107
105,TUNNEL,,,0.6877569623898915
106,TUNNEL,,,0.6935516712661242
107,TUNNEL,,,0.6990309550641495
108,TUNNEL,,,0.7047888642258919
109,TUNNEL,,,0.7102720288964831
110,TUNNEL,,,0.7161294680691992
111,TUNNEL,,,0.7216888930255752
112,TUNNEL,,,0.7275623403513073
113,TUNNEL,,,0.7331520957093068
114,TUNNEL,,,0.7390103635082964
115,TUNNEL,,,0.7446420070149612
116,TUNNEL,,,0.7506139133520449
117,TUNNEL,,,0.7562938932490385
118,TUNNEL,,,0.7622228598274612
119,TUNNEL,,,0.7678472110551227
120,TUNNEL,,,0.7737417900907161
121,TUNNEL,,,0.779317302148428
122,TUNNEL,,,0.7851798143112155
123,TUNNEL,,,0.790730023392092
124,TUNNEL,,,0.7967242542414232
125,TUNNEL,,,0.8025295788118237
126,TUNNEL,,,0.8086327905243211
127,TUNNEL,,,0.8144471995284234
128,TUNNEL,,,0.8205628351123295
129,TUNNEL,,,0.8262872350077651
130,TUNNEL,,,0.8323598953510509
131,TUNNEL,,,0.8380910584684126
132,TUNNEL,,,0.8441381466485458
133,TUNNEL,,,0.8499545265079487
134,TUNNEL,,,0.8561099654216084
135,TUNNEL,,,0.8620151963109587
136,TUNNEL,,,0.8682882953742646
137,TUNNEL,,,0.8741803045355185
138,TUNNEL,,,0.8802699713223849
139,TUNNEL,,,0.8859810722467614
140,TUNNEL,,,0.8919240758199242
141,TUNNEL,,,0.8976200651238256
142,TUNNEL,,,0.9036956312560359
143,TUNNEL,,,0.9094097259431045
144,TUNNEL,,,0.9153422160895743
145,TUNNEL,,,0.9209415595048762
146,TUNNEL,,,0.9268628264335645
147,TUNNEL,,,0.9325634722214128
148,TUNNEL,,,0.9385702542512538
149,TUNNEL,,,0.9442022735658482
150,TUNNEL,,,0.9500512615826741
151,TUNNEL,,,0.9555410237748658
152,TUNNEL,,,0.9614392902837103
153,TUNNEL,,,0.9672685773296573
154,TUNNEL,,,0.9735293084095189
155,TUNNEL,,,0.9794956144777602
156,TUNNEL,,,0.9858117562342343
157,TUNNEL,,,0.9918237105334614
158,TUNNEL,,,0.9981638341896306
159,TUNNEL,,,1.0042616254527155
160,TUNNEL,,,1.010697097587293
161,TUNNEL,,,1.0168013397607316
162,TUNNEL,,,1.0233090118382182
163,TUNNEL,,,1.029590730413082
164,TUNNEL,,,1.0363448897021772
165,TUNNEL,,,1.042897561385766
166,TUNNEL,,,1.0496954023289404
167,TUNNEL,,,1.0560802803491567
168,TUNNEL,,,1.0626356456922954
169,TUNNEL,,,1.068990200925388
170,TUNNEL,,,1.075756128801103
171,TUNNEL,,,1.0822243761118286
172,TUNNEL,,,1.0890414126601196
173,TUNNEL,,,1.0956725247849601
174,TUNNEL,,,1.102562996914572
175,TUNNEL,,,1.1090578093928765
176,TUNNEL,,,1.1158168499784635
177,TUNNEL,,,1.1222370974479898
178,TUNNEL,,,1.1290325367174256
179,TUNNEL,,,1.135573922355065
180,TUNNEL,,,1.142474605676749
181,TUNNEL,,,1.1490086386577443
182,TUNNEL,,,1.1559479586274082
183,TUNNEL,,,1.1625929882947703
184,TUNNEL,,,1.1695857505437672
185,TUNNEL,,,1.176265312986218
186,TUNNEL,,,1.183217943924177
187,TUNNEL,,,1.1898178634936512
188,TUNNEL,,,1.1968048481059583
189,TUNNEL,,,1.2034834113886805
190,TUNNEL,,,1.2103652710982253
191,TUNNEL,,,1.2169301544211961
192,TUNNEL,,,1.2238198999744327
193,TUNNEL,,,1.2304917100435602
194,TUNNEL,,,1.2376108289312204
195,TUNNEL,,,1.2443425707583298
196,TUNNEL,,,1.2511976089340549
197,TUNNEL,,,1.2577570919886796
198,TUNNEL,,,1.2646537826470592
199,TUNNEL,,,1.2712420219661236
200,TUNNEL,,,1.2782108503017795
201,TUNNEL,,,1.28488554393073
202,TUNNEL,,,1.2920477745162884
203,TUNNEL,,,1.2989397986714297
204,TUNNEL,,,1.3061021689190238
205,TUNNEL,,,1.31300874090871
206,TUNNEL,,,1.3202155097721062
207,TUNNEL,,,1.327055138250646
208,TUNNEL,,,1.3341872765346228
209,TUNNEL,,,1.3409914682624704
210,TUNNEL,,,1.3480355203837648
211,TUNNEL,,,1.354874548943446
212,TUNNEL,,,1.3621106802096974
213,TUNNEL,,,1.3691290175822266
214,TUNNEL,,,1.376543155660149
215,TUNNEL,,,1.383617211480894
216,TUNNEL,,,1.3909510507885547
217,TUNNEL,,,1.3979562155198426
218,TUNNEL,,,1.4053589391725352
219,TUNNEL,,,1.4123922102020146
220,TUNNEL,,,1.4197281199384661
221,TUNNEL,,,1.426790292507251
222,TUNNEL,,,1.4341678269987008
223,TUNNEL,,,1.4412745664036741
224,TUNNEL,,,1.4487412294809265
225,TUNNEL,,,1.4559466661577003
226,TUNNEL,,,1.4634526549083122
227,TUNNEL,,,1.4706985110178061
228,TUNNEL,,,1.4781627267158721
229,TUNNEL,,,1.4852609709251936
230,TUNNEL,,,1.4925225863705023
231,TUNNEL,,,1.4995450470021936
232,TUNNEL,,,1.5069992267603098
233,TUNNEL,,,1.5140818154551272
234,TUNNEL,,,1.5214791116111799
235,TUNNEL,,,1.5285840524617518
236,TUNNEL,,,1.5360372262239192
237,TUNNEL,,,1.5442828784238813
238,TUNNEL,,,1.5525863205704302
239,TUNNEL,,,1.560169097925083
240,TUNNEL,,,1.5679992623220569
241,TUNNEL,,,1.575400952604814
242,TUNNEL,,,1.5829881170724822
243,TUNNEL,,,1.5902076345097083
244,TUNNEL,,,1.5977401546835788
245,TUNNEL,,,1.6049577392133743
246,TUNNEL,,,1.612422144639043
247,TUNNEL,,,1.6195544216529696
248,TUNNEL,,,1.6268825566932754
249,TUNNEL,,,1.6353784215724405
250,TUNNEL,,,1.644255466273864
251,TUNNEL,,,1.651894289866086
252,TUNNEL,,,1.6596193130295616
253,TUNNEL,,,1.6669217571349886
254,TUNNEL,,,1.6742738053746218
255,TUNNEL,,,1.6812253625416345
256,TUNNEL,,,1.6884299896719697
257,TUNNEL,,,1.6953515192001123
258,TUNNEL,,,1.7025071625849102
259,TUNNEL,,,1.7092930294042126
260,TUNNEL,,,1.7163456270454753
261,TUNNEL,,,1.723010111188855
262,TUNNEL,,,1.7317539638061414
263,TUNNEL,,,1.7406590969963327
264,TUNNEL,,,1.748777621053567
265,TUNNEL,,,1.7563249818711575
266,TUNNEL,,,1.763962377860952
267,TUNNEL,,,1.7711265261293132
268,TUNNEL,,,1.7784737603911789
