step,gt_x,gt_y,gt_yaw,gt_speed,est_x,est_y,est_yaw,est_speed,pos_error,yaw_error,heading_error_deg,lateral_deviation
0,248.7530059814453,-33.3318977355957,-110.63746643066406,6.70860608940272,248.7754113320477,-33.30395423062317,-128.42309556816116,6.7085079325145935,0.03581674476785601,-17.785629137497093,-22.03065490722659,2.3196706887047185
1,248.62367248535156,-33.649112701416016,-111.08456420898438,6.950217022938326,248.62620460926993,-33.64954676736276,-145.8144915138874,6.988309593605628,0.002569059124291955,-34.729927304903015,-22.47775268554686,2.1826369044520106
2,248.48829650878906,-33.97724914550781,-111.45508575439453,7.205812222191893,248.48707007163696,-33.947660793126595,-146.97120338332087,7.085978181017894,0.029613759381800418,-35.51611762892634,-22.848274230957006,2.0393448780487233
3,248.34735107421875,-34.31642150878906,-111.84342193603516,7.445914716053843,248.33260187784154,-34.31339188644413,-161.28387142519585,7.253785043434309,0.015057138019106147,-49.440449489160684,-23.236610412597678,1.8901767084316816
4,248.2053680419922,-34.6685676574707,-111.85535430908203,7.690293421159791,248.18208709445307,-34.630507770588984,-130.758742163904,7.298765027542178,0.04461566437663481,-18.903387854821975,-23.248542785644535,1.739665327617331
5,248.07199096679688,-35.036170959472656,-111.20497131347656,7.90715955936679,248.0746918588675,-35.01748079562567,-73.69345243016467,7.6729470939307935,0.018884306781142512,37.51151888331189,-22.598159790039077,1.5973960798255575
6,247.95179748535156,-35.41876983642578,-109.80489349365234,8.10783472373679,248.0126289122961,-35.405453743150964,17.97771881932475,8.12320781986358,0.06227183026225828,127.78261231297711,-21.19808197021483,1.4679481236489664
7,247.84280395507812,-35.81385040283203,-108.14276123046875,8.27299601638274,248.02194279740192,-35.7057326430836,101.05969715788743,7.4845063460636085,0.20923712577391446,-150.79754161164385,-19.53594970703123,1.3493675202807935
8,247.74205017089844,-36.21739959716797,-106.4267349243164,8.361374513194777,247.80360953425856,-35.98984373206812,-153.629009838451,6.0457847583730695,0.23573550211761707,-47.202274914134584,-17.819923400878913,1.2388459985995723
9,247.64910888671875,-36.625282287597656,-104.89481353759766,8.38081170447453,247.60130770675528,-36.4920160755526,-69.14255141926873,6.222165723591475,0.14157978697094617,35.75226211832893,-16.288002014160163,1.1360170849402493
10,247.56300354003906,-37.03339767456055,-103.49437713623047,8.326225059793773,247.5829753583156,-36.9718158581818,10.740378707238822,6.783619326204852,0.06473942874150665,114.2347558434693,-14.887565612792985,1.0399955674383818
11,247.48377990722656,-37.4395751953125,-102.34675598144531,8.252377630866274,247.60206817684343,-37.3124124855293,58.495997041994336,6.07402149068103,0.17367345648762603,160.84275302343966,-13.739944458007791,0.950919012841041
12,247.41030883789062,-37.84211730957031,-101.32857513427734,8.146802650558156,247.49228963946908,-37.652723983850215,115.80845030390213,4.33899963143449,0.20637510425137154,-142.86297456182055,-12.721763610839808,0.8676882783984183
13,247.34242248535156,-38.240623474121094,-100.53299713134766,8.051324065127098,247.3488789035258,-38.08155489037766,154.02787583189817,2.6999908212788366,0.15919955926378124,-105.43912703675419,-11.926185607910165,0.7901352888075053
14,247.27867126464844,-38.63522720336914,-99.82040405273438,7.964866212262267,247.2543411707477,-38.46822135463503,-157.6946124950936,1.9490618323574718,0.1687687974141568,-57.87420844235921,-11.213592529296873,0.7168106094159157
15,247.22335815429688,-39.02725601196289,-99.04938507080078,7.893043950029075,247.2098265186312,-38.885012496334745,-107.16021260958631,2.279890950953753,0.14288569873168988,-8.110827538785523,-10.442573547363304,0.6519872930239217
16,247.17800903320312,-39.41808319091797,-98.00480651855469,7.867681715622571,247.16401212040307,-39.33393535634648,-38.34317419462964,3.316423906971266,0.08530399539882623,59.66163232392505,-9.397994995117159,0.597161371853872
17,247.1394500732422,-39.81005859375,-97.03497314453125,7.896593528861583,247.15177571549037,-39.7484055800794,6.070268461870302,3.8594759151100417,0.0628730113124662,103.10524160640155,-8.428161621093734,0.5490667609483353
18,247.10549926757812,-40.20482635498047,-96.10160827636719,7.952116989248179,247.16253050914693,-40.07372362678174,58.61951816424515,3.501112261112201,0.14297023416092203,154.72112644061232,-7.494796752929667,0.5055207073310157
19,247.0757598876953,-40.60353469848633,-95.34003448486328,8.029651623939598,247.12396636029936,-40.45575866748765,90.04858276924172,2.2226995011615927,0.15544008279284738,-174.61138274589504,-6.733222961425796,0.4660954419796326
20,247.0489044189453,-41.006126403808594,-94.63832092285156,8.097166214962764,247.05645032688702,-40.87118863462458,133.97431630108406,0.7334895661832783,0.13514859332979648,-131.3873627760644,-6.031509399414062,0.42946356446555
21,247.02500915527344,-41.41193771362305,-94.0970458984375,8.150220137524487,247.02412121529895,-41.28163971458007,157.56286416509232,-0.24899299463800018,0.1303010245239882,-108.34008993647022,-5.490234374999976,0.39570116068171046
